Observation Number,Is GLOBE Trained,is Citizen Science,Site ID,Observation Latitude,Observation Longitude,Observation Elevation,Measurement Date (UTC),Measurement Time (UTC),Is_dust,Dust_QA_comment,Sky Color,Sky Visibility,Total Cloud Cover,Total Cloud Cover %,Cirrus,Cirrocumulus,Cirrostratus,Altostratus,Altocumulus,Cumulus,Nimbostratus,Stratus,Stratocumulus,Cumulonimbus,Short Lived Contrails,Spreading Contrails,Non Spreading Contrails,Fog,Smoke,Haze,Volcanic Ash,Dust,Sand,Spray,Heavy Rain,Heavy Snow,Blowing Snow,Surface Snow/Ice,Surface Standing Water,Surface Muddy,Surface Dry Ground,Surface Leaves on Trees,Surface Raining or Snowing,High Cloud Cover,High Cloud Opacity,Mid Cloud Cover,Mid Cloud Opacity,Low Cloud Cover,Low Cloud Opacity,Surface Air Temperature,Surface Barometric Pressure,Surface Relative Humidity %,Ground Image North,Ground Image East,Ground Image South,Ground Image West,Ground Image Up,Ground Image Down,GEO/Terra/Aqua Satellite Match Table,CALIPSO Satellite Match Table,GEO Satellite,GEO Date,GEO Time,GEO Latitude,GEO Longitude,GEO Vzen,GEO Szen,GEO Low Cloud Cover,GEO Mid Cloud Cover,GEO High Cloud Cover,GEO Low Liquid,GEO Mid Lquid,GEO High Liquid,GEO Low Ice,GEO Mid Ice,GEO High Ice,GEO Low Cloud Opt,GEO Mid Cloud Opt,GEO High Cloud Opt,GEO Low Cloud Temp (K),GEO Mid Cloud Temp (K),GEO High Cloud Temp (K), GEO Low Cloud Altitude,GEO Mid Cloud Altitude,GEO High Cloud Altitude,GEO Snow,GEO Ocean,Terra Satellite,Terra Longitude,Terra Latitude,Terra Date,Terra Time,Terra Low Cloud Altitude,Terra Low Cloud Opt,Terra Low Cloud Cover,Terra Low Cloud Phase,Terra Low Cloud Temp (K),Terra Mid Cloud Altitude,Terra Mid Cloud Opt,Terra Mid Cloud Cover,Terra Mid Cloud Phase,Terra Mid Cloud Temp (K),Terra High Cloud Altitude,Terra High Cloud Opt,Terra High Cloud Cover,Terra High Cloud Phase,Terra High Cloud Temp (K),Terra Vzen,Terra Szen,Terra Wind,Terra Snow,Terra Ocean,Aqua Satellite,Aqua Longitude,Aqua Latitude,Aqua Date, Aqua Time, Aqua Low Cloud Altitude, Aqua Low Cloud Opt, Aqua Low Cloud Cover, Aqua Low Cloud Phase, Aqua Low Cloud Kel, Aqua Mid Cloud Altitude, Aqua Mid Cloud Opt, Aqua Mid Cloud Cover, Aqua Mid Cloud Phase, Aqua Mid Cloud Kel, Aqua High Cloud Altitude, Aqua High Cloud Opt, Aqua High Cloud Cover,Aqua High Cloud Phase,Aqua High Cloud Kel, Aqua Sat Vzen, Aqua Sat Szen, Aqua Wind, Aqua Snow, Aqua Ocean,,,
397546,1,0,6898,28.64173,77.18459,242,1/4/12,7:05:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,20,-99,-99,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389034,1,0,11968,24.165141,47.330755,700,1/31/12,9:00:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,-99,909,100,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389005,1,0,13074,26.20215,43.58032,626,1/31/12,9:30:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,-99,928,-99,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388976,1,0,12243,21.23,39.47,268,1/31/12,9:45:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,30,983,29,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388661,1,0,13038,27.31918,41.14031,1015,2/1/12,9:00:00,unknown,no photos,,,few,< 10%,0,1,0,0,0,0,1,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,18,887,26,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388640,1,0,13074,26.20215,43.58032,626,2/1/12,9:25:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,-99,928,-99,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388605,1,0,12243,21.23,39.47,268,2/1/12,9:45:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,30,982,26,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388297,1,0,13038,27.31918,41.14031,1015,2/2/12,9:00:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,13,886,22,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388278,1,0,12963,24.1,47.1427,700,2/2/12,9:25:00,unknown,no photos,,,scattered,25-50%,0,0,1,0,0,0,0,0,0,0,-99,-99,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,-99,-99,-99,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387916,1,0,12492,21.1723,40.2534,1658,2/3/12,9:30:00,unknown,no photos,,,obscured,>25% obscured,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,-99,-99,-99,,,,,,,no match,no match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
