Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,,,,,,
"104 INVESTMENT, LLC [LANHAM,MARYLAND]",NNG07DA02C,GSFC - Goddard Space Flight Center,LANHAM,MD,'05',2/13/2007,2/6/2017,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","550,000","3,285,675","3,292,116",531312,N/A,N/A,LEASE OF SPACE IN AEROSPACE BUILDING FOR SEWP PROGRAM OFFICE,,,,,,,,,
"17TH ST. PHOTO SUPPLY, INC. [NEW YORK,NEW YORK]",NND13AB48D,AFRC - Armstrong Flight Research Center,NEW YORK,NY,'12',4/30/2013,5/6/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","12,993","12,993","12,993",423410,N/A,N/A,PHOTO EQUIPMENT AND SUPPLIES,,,,,,,,,
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNJ13HA70D,JSC - Johnson Space Flight Center,New York,NY,'12',2/25/2013,3/29/2013,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","55,990","55,990","55,990",323114,N/A,N/A,NIKON D4 FX DSLR BODY,,,,,,,,,
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNK13OL53D,KSC - Kennedy Space Flight Center,New York,NY,'12',8/1/2013,9/1/2013,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","7,114","7,114","7,114",323114,N/A,N/A,NIKON CAMERA EQUIPMENT,,,,,,,,,
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNK13OR09D,KSC - Kennedy Space Flight Center,New York,NY,'12',3/8/2013,3/22/2013,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","19,989","19,989","19,989",323114,N/A,N/A,NEWTRECK TRICASTER 455.,,,,,,,,,
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNL13AA54D,LaRC - Langley Research Center,New York,NY,'12',3/12/2013,4/15/2013,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","6,247","6,247","6,247",323114,N/A,N/A,CANON EOS 1DX DIGITAL SLR CAMERA,,,,,,,,,
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNL13AA69D,LaRC - Langley Research Center,New York,NY,'12',4/10/2013,5/15/2013,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","18,648","18,648","18,648",323114,N/A,N/A,"NIKON CAMERAS, SOFTWARE AND ACCESSORIES",,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC13QA81P,GRC - Glenn Research Center,CLEVELAND,OH,'16',7/16/2013,8/12/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","16,060","15,978","15,978",423610,N/A,N/A,CAMERAS FOR SPACECRAFT FIRE SAFETY DEMO,,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC13VC63P,GRC - Glenn Research Center,ANDOVER,MA,'03',2/27/2013,3/27/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","10,105","10,105","10,105",423410,N/A,N/A,PROSILICA GX1050 CAMERA,,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC13VF37P,GRC - Glenn Research Center,ANDOVER,MA,'03',6/24/2013,7/1/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","5,176","5,176","5,176",423410,N/A,N/A,SCHNEIDER CINEGON LENS,,,,,,,,,
