Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"104 INVESTMENT, LLC [LANHAM,MARYLAND]",NNG07DA02C,GSFC - Goddard Space Flight Center,LANHAM,MD,'05',2/13/2007,2/6/2017,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","202,429","3,285,675","3,292,116",531312,N/A,N/A,LEASE OF SPACE IN AEROSPACE BUILDING FOR SEWP PROGRAM OFFICE
"1105 MEDIA INC [CHATSWORTH,CALIFORNIA]",NNJ09JB28P,JSC - Johnson Space Flight Center,,CA,'30',5/7/2009,7/14/2011,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","5,841","11,151","11,151",511120,N/A,N/A,Renew the yearly online subscription of the Federal Employee News Digest
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNL10AB88D,LaRC - Langley Research Center,New York,NY,'08',7/29/2010,8/30/2010,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","21,297","21,297","21,297",323114,N/A,N/A,Nikon Digital Camera Bodies
"1CADCAM, LLC [STUART,FLORIDA]",NNX10TT78P,NSSC - NASA Shared Services Center,Hampton,VA,'01',6/24/2010,8/24/2010,", Small Business ONLY - For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price","15,500","15,500","15,500",541512,N/A,N/A,INTERNAL TRAINING PURCHASES COURSE TITLE: UNIGRAPHICS NS7
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNA08AE04P,ARC - Ames Research Center,ANDOVER,MA,'05',7/8/2008,7/31/2008,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Service Provider, Women Owned","Purchase Order, Firm Fixed Price",-800,"91,188","91,188",423410,N/A,N/A,"NNA08AE04P IS WITH 1ST VISION, INC."
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNL09AC76P,LaRC - Langley Research Center,,MA,'05',5/13/2009,6/12/2009,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price",-125,"48,041","48,041",334119,N/A,N/A,IMPERX IPX-11M5 SERIES DIGITAL CCD CAMERA AND RACK-MOUNT COMPUTER SYSTEM
"259 HOLDINGS LIMITED LIMITED LIABILITY COMPANY [CARLSBAD,CALIFORNIA]",NNA10DG45D,ARC - Ames Research Center,Carlsbad,CA,'50',9/29/2010,10/28/2010,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","9,083","9,083","9,083",333314,N/A,N/A,MICROSCOPE CAMERA
"3 D PLUS USA INC [MCKINNEY,TEXAS]",NNL09AF88P,LaRC - Langley Research Center,,TX,'03',9/28/2009,3/1/2010,"Other Than Small Business - Foreign Owned And Located, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"14,300","14,300",334413,N/A,N/A,3D Plus Flash NAND Memory  Devices
"3 D PLUS USA INC [MCKINNEY,TEXAS]",NNL09AG16P,LaRC - Langley Research Center,,TX,'03',9/25/2009,5/25/2010,"Other Than Small Business - Foreign Owned And Located, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"40,427","40,427",334413,NNL09313212Q,"Deonte Watters, 757-864-5047, deonte.watters@nasa.gov",3D Plus Access Time Memory Module
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNC10FA04P,GRC - Glenn Research Center,ROCK HILL,SC,'05',5/25/2010,10/25/2010,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","15,198","15,171","15,171",541512,N/A,N/A,PM SERVICE & DURA-FORM POWDERS
