Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,,,,,,,,,
"104 INVESTMENT, LLC [LANHAM,MARYLAND]",NNG07DA02C,GSFC - Goddard Space Flight Center,LANHAM,MD,'05',2/13/2007,2/6/2017,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","5,985","3,285,675","3,292,116",531312,N/A,N/A,LEASE OF SPACE IN AEROSPACE BUILDING FOR SEWP PROGRAM OFFICE,,,,,,,,,,,,
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNG14AR81D,GSFC - Goddard Space Flight Center,New York,NY,'12',7/17/2014,8/18/2014,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","4,180","4,180","4,180",323114,N/A,N/A,CCTV SECURITY MATERIALS: P3304-V/1MP/VANDOM CAMERAS/2.8-10MM. 6 EA1-PORT POE MID INJECTOR 30W. 6 EA,,,,,,,,,,,,
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNL14AA77D,LaRC - Langley Research Center,New York,NY,'12',6/12/2014,6/30/2014,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","4,375","4,375","4,375",323114,N/A,N/A,NIKON DIGITAL SINGLE-LENS REFLEX CAMERA SYSTEM,,,,,,,,,,,,
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNL14AB78D,LaRC - Langley Research Center,New York,NY,'12',9/2/2014,10/30/2014,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","4,449","4,449","4,449",323114,N/A,N/A,PORTABLKE TRIPOD SYSTEM,,,,,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC13QA81P,GRC - Glenn Research Center,CLEVELAND,OH,'16',7/16/2013,8/12/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price",-82,"15,978","15,978",423610,N/A,N/A,CAMERAS FOR SPACECRAFT FIRE SAFETY DEMO,,,,,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC13VH60P,GRC - Glenn Research Center,ANDOVER,MA,'03',7/25/2013,8/28/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price",-3,"3,086","3,086",423410,N/A,N/A,CAMERA AND CAMERA ACCESSORIES (TOTAL QUANTITY: 3),,,,,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC13VJ41P,GRC - Glenn Research Center,ANDOVER,MA,'03',9/11/2013,9/17/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price",-3,"3,007","3,007",334220,N/A,N/A,IGF::OT::IGFNORPIX STREAMPIX 5 RECORDING SOFTWARE&NORPIX SOFTWARE LICENSE USB KEY,,,,,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNL14AD08P,LaRC - Langley Research Center,Andover,MA,'03',6/19/2014,7/2/2014,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","7,327","7,327","7,327",423410,N/A,N/A,"MONOCHROME CAMERA SYSTEM, CONNECTOR CABLE",,,,,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNL14AD42P,LaRC - Langley Research Center,Andover,MA,'03',7/1/2014,8/7/2014,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","27,060","27,060","27,060",423410,N/A,N/A,SHORT-WAVE INFRARED CAMERA,,,,,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNL14AE16P,LaRC - Langley Research Center,,MA,'03',7/31/2014,8/31/2014,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","27,497","27,480","27,480",423410,N/A,N/A,HIGH MEGAPIXEL CAMERA,,,,,,,,,,,,
