Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,
"104 INVESTMENT, LLC [LANHAM,MARYLAND]",NNG07DA02C,GSFC - Goddard Space Flight Center,LANHAM,MD,'05',2/13/2007,2/6/2017,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","-6,441","3,285,675","3,292,116",531312,N/A,N/A,LEASE OF SPACE IN AEROSPACE BUILDING FOR SEWP PROGRAM OFFICE,,,,
"10X GENOMICS, INC. [PLEASANTON,CALIFORNIA]",80NSSC20P0338,NSSC - NASA Shared Services Center,PLEASANTON,CA,'15',12/19/2019,12/26/2019,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","90,350","90,350","90,350",334516,80NSSC20Q0152,N/A,"ORDER FOR CHROMIUM SINGLE CELL 3\' GEM, LIBRARY&GEL BEAD KIT V3, 16 RXNS QUANTITY 4, CHROMIUM CHIP B SINGLE CELL KIT, 48 RXNS QUANTITY 2, AND CHROMIUM I7 MULTIPLEX KIT, 96 RXNS QUANTITY 1",,,,
"10X GENOMICS, INC. [PLEASANTON,CALIFORNIA]",80NSSC20P0812,NSSC - NASA Shared Services Center,PLEASANTON,CA,'15',3/18/2020,9/1/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","101,040","101,040","101,040",334516,80NSSC2023526,N/A,"THIS IS PURCHASE ORDER 80NSSC20P0812 FOR REAGENT KIT 4 SLIDES, QTY 1 REAGENT KIT 16 RXNS, QTY 6 VISIUM ACCESSORY KIT, QTY 1 DUAL INDEX KIT TT SET A 96 RXNS, QTY 1 FROM 10X GENOMICS, INC.",,,,
"15 LIGHTYEARS, INC. [LONGWOOD,FLORIDA]",80KSC019A0001,KSC - Kennedy Space Flight Center,[N/A for IDVs],,'NA',11/15/2018,[None Indicated],", Small Disadvantaged Business, Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,238210,80KSC018Q0028,N/A,ELECTRICAL CONSTRUCTION MASTER BLANKET PURCHASE AGREEMENT (BPA)PERIOD OF PERFORMANCE: 11/15/2018 - 11/14/2023,,,,
"15 LIGHTYEARS, INC. [LONGWOOD,FLORIDA]",80KSC019F0161,KSC - Kennedy Space Flight Center,ORLANDO,FL,'08',6/13/2019,1/31/2020,", Small Disadvantaged Business, Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","BPA Call, Firm Fixed Price","9,378","247,128","247,128",238210,N/A,N/A,"INSTALL PHOTOVOLTAIC PANELS AT ELECTRICAL MAINTENANCE FACILITY, PCN: 99217. PERIOD OF PERFORMANCE: JUNE 13, 2019 - OCTOBER 11, 2019",,,,
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND17FF11D,AFRC - Armstrong Flight Research Center,COSTA MESA,CA,'48',2/3/2017,5/25/2017,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","BPA Call, Firm Fixed Price",0,"1,385","1,385",337214,N/A,N/A,B4800/ROOM 1409B FURNITURE,,,,
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND17FF14D,AFRC - Armstrong Flight Research Center,COSTA MESA,CA,'48',5/23/2017,9/28/2017,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","BPA Call, Firm Fixed Price",0,0,0,337214,N/A,N/A,"DESIGN&INSTALL OF FURNITURE FOR B703, ROOM S332 CUBE WALL REPLACEMENT",,,,
"2082 TECHNOLOGY LLC [BREA,CALIFORNIA]",80NSSC19P2226,NSSC - NASA Shared Services Center,BREA,CA,'39',9/16/2019,12/27/2019,", Small Business ONLY - [No Vendor Indicators Found]","Purchase Order, Firm Fixed Price",0,"129,625","129,625",423410,80NSSC19Q1073,N/A,"OT; 25 - EX1030SHD-B-L5SN2AP1 PTZ,1080P/1080I, 30X, 500M LASER, GEN 2 IP/H.264/H.265 +3G SDI, 24VAC, POE, SONY 7520, VISCA OVER IP CONTROL, ZDP, FULL-CABLE.CORROSION RESISTANT TREATMENT, NITROGEN FILLED.",,,,
"3D ARRAY TECHNOLOGY, LLC [VERNON,CONNECTICUT]",80NSSC20C0547,NSSC - NASA Shared Services Center,VERNON ROCKVILLE,CT,'02',8/27/2020,3/1/2021,", Small Business Innovative Research, Small Business - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","Definitive Contract, Firm Fixed Price","124,994","124,994","124,994",541715,N/A,N/A,EFFICIENT PARTICULATE CARBON FILTRATION FOR SPACE OXYGEN RECOVERY USING CATALYTIC NANOARRAY-BASED POROUS METAL MONOLITHIC FILTERS,,,,
"3D ARRAY TECHNOLOGY, LLC [VERNON,CONNECTICUT]",80NSSC20K1687,NSSC - NASA Shared Services Center,VERNON ROCKVILLE,CT,'02',9/4/2020,3/1/2021,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",Training Grant,"10,000","10,000","10,000",[None Indicated],N/A,N/A,EFFICIENT PARTICULATE CARBON FILTRATION FOR SPACE OXYGEN RECOVERY USING CATALYTIC NANOARRAY-BASED POROUS METAL MONOLITHIC FILTERS,,,,
"3D CONTROL SYSTEMS, INC. [SAN FRANCISCO,CALIFORNIA]",80NSSC19P0047,NSSC - NASA Shared Services Center,SAN FRANCISCO,CA,'12',10/11/2018,10/11/2019,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"25,000","25,000",541519,N/A,N/A,OTLARC 3DPRINTEROS SOFTWARE - 1 YEAR ENTERPRISE SITE LICENSE,,,,
"3D MATERIAL TECHNOLOGIES, LLC [DELAND,FLORIDA]",80NSSC19P1818,NSSC - NASA Shared Services Center,DELAND,FL,'06',8/14/2019,10/23/2019,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price",0,"51,795","51,795",332999,80NSSC19Q1006,N/A,3D MATERIAL TECHNOLOGIES GRCOP-42 EOS M290 WITNESS SPECIMENS AND CHAMBERS,,,,
"3D PLUS U.S.A., INC. [SAN LEANDRO,CALIFORNIA]",80NSSC19P1353,NSSC - NASA Shared Services Center,SAN LEANDRO,CA,'13',6/24/2019,10/30/2019,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"16,610","16,610",334413,N/A,N/A,"OT: 1 - 3DFN128G08VS8308 MB 128GB NAND FLASH (16G X 8) 3.3V MILITARY INDUSTRIAL GRADE, 2 - 3DFN128G08VS8308 IB 128GB NAND FLASH (16G X 8) 3.3V INDUSTRIAL GRADE",,,,
