0,ABSL SPACE PRODUCTS,"F4 CULHAM SCIENCE CENTRE, ABINGDON, GREAT BRITAIN",SENTINEL-6A/B-BATTERY,"512,500.00"
1,ACRI-ST S.A.S.,"260 ROUTE DU PIN MONTARD, SOPHIA ANTIPOLIS CEDEX, FRANCE","MISSION PERFORMANCE CENTERS (MPC) FOR SENTINELS.  MPCs are responsible for calibration, validation, qualitycontrol and end-to-end system performance assessment. The MPCs include expert teams for specific cal/val, off-linequality control and algorithm correction activities.","2,000,000.00"
2,Advanced Computer Systems A.C.S. S.r.l.,"Via della Bufalotta, 378, ROMA, ITALY",SENTINEL-3 GEOMETRIC CALIBRATION TOOL FOR IN ORBIT PERFORMANCES VERIFICATION,"69,437.00"
3,AIM INFRAROT-MODULE GMBH,"THERESIENSTRASSE 2, 74072 HEILBRONN, GERMANY",SENTINEL-3 C/D UNITS - OME IR DETECTOR,"70,000.00"
4,AIRBUS DEFENCE & SPACE NETHERLANDS,"MENDELWEG 30, LEIDEN, NETHERLANDS","SENTINEL-5 PHASE B2, C/D, E1. SD: ADS-NL. 1.00.3: DATA PROCESSING ENGINEERING.","1,095,731.00"
5,AIRBUS DEFENCE AND SPACE LIMITED,"GUNNELS WOOD ROAD, STEVENAGE, GREAT BRITAIN",SENTINEL-6A/B-MPPS,"2,587,500.00"
6,AIRBUS DEFENCE AND SPACE SAS,"Route de Verneuil 51-61, Les Mureaux, FRANCE",SENTINEL-2 C/D UNITS  - MSI  SYSTEM SUPPORT,"331,250.00"
7,AIRBUS DEFENCE AND SPACE SAS,"Route de Verneuil 51-61, Les Mureaux, FRANCE","SENTINEL-5 PHASE B2, C/D, E1. SD: ADS-F. 1.00.2: FOCAL PLANE SUBSYSTEM (FPS).","4,937,955.00"
8,AIRBUS DEFENCE AND SPACE SAS,"Route de Verneuil 51-61, Les Mureaux, FRANCE",SENTINEL-6A/B-RMU,"846,300.00"
9,"AIRBUS DEFENCE AND SPACE, S.A.U","AVENIDA DE ARAGÓN 404,  MADRID, SPAIN",SENTINEL-3 C/D UNITS - MWR,"25,000.00"
10,"AIRBUS DEFENCE AND SPACE, S.A.U","AVENIDA DE ARAGÓN 404,  MADRID, SPAIN",SENTINEL-6A/B-HARNESS,"950,008.00"
11,"AIRBUS DEFENCE AND SPACE, S.A.U","AVENIDA DE ARAGÓN 404,  MADRID, SPAIN",SENTINEL-6A/B-STR,"1,621,815.00"
12,Airbus DS GmbH Sat,"Claude-Dornier-Strasse, Immenstaad, GERMANY",Sentinel-1 Satellites C/D Units Construction,"116,666.00"
13,Airbus DS GmbH Sat,"Claude-Dornier-Strasse, Immenstaad, GERMANY",SENTINEL-2 IN-ORBIT OPERATIONS  MAINTENANCE SUPPORT,"8,977,722.00"
14,Airbus DS GmbH Sat,"Claude-Dornier-Strasse, Immenstaad, GERMANY",Sentinel-2 Satellites C/D Units construction,"1,075,596.00"
15,Airbus DS GmbH Sat,"Claude-Dornier-Strasse, Immenstaad, GERMANY",Sentinel-2A Phase E Activities,"333,000.00"
16,Airbus DS GmbH Sat,"Claude-Dornier-Strasse, Immenstaad, GERMANY",Sentinel-5 Satellite Instrument Construction,"43,313,225.00"
