NASA Headquarters (HQ),Bell Textron Inc,annex to  Hybrid-Electric System Integration Development andTesting Activities,1/15/2020,8/8/2024,789472
NASA Headquarters (HQ),The Boeing Company,Grand Challenge Vehicle Provider Information ExchangeAnnex,2/28/2020,2/28/2025,789472
NASA Headquarters (HQ),The Boeing Company,Participation in the NASA UAM Grand Challenge,2/28/2020,2/28/2025,null
NASA Headquarters (HQ),Zeva Inc (dba Zeva Aero),Grand Challenge Vehicle Provider Information ExchangeAnnex,2/3/2020,2/3/2025,789472
NASA Headquarters (HQ),Zeva Inc (dba Zeva Aero),Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),The University of North Texas,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),Uber Technologies Inc,Grand Challenge - Development Test Airspace Annex,2/3/2020,2/3/2025,678932
NASA Headquarters (HQ),Uber Technologies Inc,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),Prodentity LLC,Grand Challenge Vehicle Provider Information ExchangeAnnex,2/3/2020,2/3/2025,789472
NASA Headquarters (HQ),Prodentity LLC,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),OneSky Systems Inc,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),NFT Inc,Grand Challenge Vehicle Provider Information ExchangeAnnex,2/3/2020,2/3/2025,789472
NASA Headquarters (HQ),NFT Inc,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),Metron Aviation Inc,Grand Challenge - Development Test Airspace Annex,2/3/2020,2/3/2025,678932
NASA Headquarters (HQ),Metron Aviation Inc,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),GeoRq,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),Ellis & Associates,Grand Challenge - Development Test Airspace Annex,2/3/2020,2/3/2025,678932
NASA Headquarters (HQ),Ellis & Associates,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),Avision Inc,Grand Challenge - Development Test Airspace Annex,2/3/2020,2/3/2025,678932
NASA Headquarters (HQ),Avision Inc,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),ARINC,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),ANRA TECHNOLOGIES LLC,Grand Challenge - Development Test Airspace Annex,2/3/2020,2/3/2025,678932
NASA Headquarters (HQ),ANRA TECHNOLOGIES LLC,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),AiRXOS Inc,Grand Challenge - Development Test Airspace Annex,3/2/2020,3/2/2025,678932
NASA Headquarters (HQ),AiRXOS Inc,Participation in the NASA UAM Grand Challenge,3/2/2020,3/2/3035,null
NASA Headquarters (HQ),AIRMAP INC,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025,null
NASA Headquarters (HQ),JOBY AVIATION INC,Grand Challenge - Development Test Flight Annex,2/19/2020,2/19/2025,789472
NASA Headquarters (HQ),JOBY AVIATION INC,Participation in the NASA UAM Grand Challenge,2/19/2020,2/19/2025,null
NASA Headquarters (HQ),Virgin Galactic Holdings Inc,Collaborative Ventilator Development in Response to COVID-19 Pandemic,4/22/2020,4/22/2021,190000
NASA Headquarters (HQ),Virgin Galactic Holdings,Collaborative Medical Device Development in Response toCOVID-19 Pandemic,4/22/2020,4/22/2023,null
NASA Headquarters (HQ),Fenix Space Inc.,Development of Tow-glider Launch Platform,5/27/2020,5/27/2025,null
NASA Headquarters (HQ),Stratolaunch LLC,Annex to Support Flight Opperations of the Stratolaunch CarrierAircraft,6/18/2020,2/13/2025,null
NASA Headquarters (HQ),Stratolaunch LLC,To Support Flight Opperations of the Stratolaunch CarrierAircraft,2/13/2020,2/13/2025,null
NASA Headquarters (HQ),Stratolaunch LLC,To Support Flight Opperations of the Stratolaunch CarrierAircraft,2/13/2020,2/13/2025,null
NASA Headquarters (HQ),Lockheed Martin,Annex to NASA ER-2 Low Power Laser Demonstrator (LPLD),1/8/2020,11/27/2022,null
NASA Headquarters (HQ),General Electric Aviation,General Electric Aviation Use of NASA SOFIA B747 FlightSimulator,5/8/2019,5/8/2024,null
NASA Headquarters (HQ),Raytheon Company,Reimbursable Space Act Agreement between the NationalAeronautics and Space Administration Armstrong FlightResearch Center and Raytheon Company for Laser ImagingTesting,9/25/2019,9/25/2020,null
NASA Headquarters (HQ),Scaled Composites,For Use of NASA SOFIA B747 Flight Simulator,3/21/2019,3/21/2022,null
NASA Headquarters (HQ),The Boeing Company,Annex to Aerospace Research Development,4/5/2019,2/3/2022,699161
NASA Headquarters (HQ),Echodyne Corporation,Resilient Autonomy Collaboration,9/25/2019,11/25/2021,11036
NASA Headquarters (HQ),ZIVA CORP,M-DART Demonstration Program,8/16/2018,8/16/2021,null
NASA Headquarters (HQ),AEROVIRONMENT INC,Unmanned Aircraft Systems (UAS) Testing,11/14/2018,11/14/2023,null
NASA Headquarters (HQ),Latitude Engineering LLC,Resilient Autonomy Collaboration with Latitude Engineering,10/2/2019,1/2/2021,10097
NASA Headquarters (HQ),The Spaceship Company,Consultation and Peer Review Support,10/12/2018,1/5/2021,null
NASA Headquarters (HQ),Modern Technology Solutions Inc.,Collaborative development of contingency management forautonomous aircraft,8/6/2018,12/6/2020,374127
NASA Headquarters (HQ),Bell Textron Inc,Hybrid-Electric System Integration Development and TestingActivities,8/8/2019,8/8/2024,null
NASA Headquarters (HQ),Grace Cathedral Inc,For Use of NASA SOFIA B747 Flight Simulator,9/19/2017,9/19/2020,null
NASA Headquarters (HQ),Lockheed Martin,NASA ER-2 Low Power Laser Demonstrator (LPLD),11/27/2017,11/27/2022,null
NASA Headquarters (HQ),Safety Technology Holdings Incorporated,Reimbursable Space Act Agreement to support the test setupand evaluation of the FOSS technology in anthropomorphic testdevice.,12/7/2017,12/7/2022,null
NASA Headquarters (HQ),TriTech Small Business Development Center,Annex to Non-Reimburseable Space Act Agreement withTriTech SBDC for Small Business Innovation Research/Smallbusiness Technology Transfer assistance,4/17/2017,4/17/2022,5160
NASA Headquarters (HQ),TriTech Small Business Development Center,Non-Reimburseable Space Act Agreement with TriTech SBDCfor Regional Economic Development including TechnologyTransfer assistance,4/17/2017,4/17/2022,2733
NASA Headquarters (HQ),TriTech Small Business Development Center,Non-Reimburseable Space Act Agreement with TriTech SBDCfor Regional Economic Development including TechnologyTransfer and Small Business Innovation Research/Smallbusiness Technology Transfer assistance,4/17/2017,4/17/2022,null
NASA Headquarters (HQ),Lockheed Martin Aeronautics Company,Develop Cost Estimate of Proposed Tests,4/24/2017,4/24/2022,null
NASA Headquarters (HQ),Lockheed Martin Aeronautics Company,Testing Support of Lockheed Martin Test Articles,4/24/2017,4/24/2022,null
NASA Headquarters (HQ),Battelle Memorial Institute,Development of an Ice Prevention System,11/17/2016,11/17/2021,null
NASA Headquarters (HQ),Stratolaunch Federal Inc,Stratolaunch vehicle technical and engineering support,1/11/2017,1/11/2021,null
NASA Headquarters (HQ),Cal Poly Pomona Foundation Inc,Non-Reimburseable Space Act Agreement Between Cal PolyPomona Foundation Inc. to Evaluate Prototype and ConductMarket Research on technologies within the TechnologyTransfer Patent Portfolio,1/5/2017,1/5/2022,null
NASA Headquarters (HQ),The Spaceship Company,FLIGHT TEST ENGINEERING AND ASSOCIATEDTECHNICAL SERVICES,1/5/2016,1/5/2021,null
NASA Headquarters (HQ),Sands Aviation LLC,For Use of NASA SOFIA B747 Flight Simulator,9/30/2015,10/31/2021,null
NASA Headquarters (HQ),Spectabit Optics LLC,Schlieren Image Acquisition and Processing Advancements,10/6/2015,10/6/2020,null
NASA Headquarters (HQ),NISSAN NORTH AMERICA INC,Annex 2 under RUSAA between NASA ARC and Nissan NorthAmerica for Research and Development in RoboticTechnologies,6/12/2020,6/12/2022,null
NASA Headquarters (HQ),Virginia Commonwealth University,Nonreimbursable Space Act Agreement between NASA ARCand Virginia Commonwealth University (VCU) for HighPerformance Computer Modeling of COVID-19 Corona Virusfor COVID-19 support,5/12/2020,11/12/2020,111845
NASA Headquarters (HQ),MOFFETT FIELD HISTORICAL SOCIETY,Reimbursable Space Act Agreement between NASA AmesResearch Center and Moffett Field Historical Society to Supportthe History of Moffett Field,6/29/2020,6/29/2025,null
NASA Headquarters (HQ),LOCKHEED MARTIN,Reimbursable Space Act Agreement between NASA ARC andLockheed Martin Corporation for Enhanced Heating SampleTesting at the NASA Ames IHF-LEAF,5/1/2020,5/1/2021,null
NASA Headquarters (HQ),The Boeing Company,Annex 19 between NASA ARC and The Boeing Companyunder Umbrella Agreement No. 21157/SAA1-21157 forFunction Allocation Determinations,4/21/2020,12/22/2020,1009507
NASA Headquarters (HQ),NISSAN NORTH AMERICA INC,Reimbursable Umbrella Space Act Agreement between NASAARC and Nissan North America for Research andDevelopment in Robotic Technologies,6/12/2020,6/12/2025,null
NASA Headquarters (HQ),Arizona State University,Annex One to NRUSAA between NASA ARC and Arizona StateUniversity for Technology Transfer Academia Infusion,5/22/2020,5/21/2025,62883
NASA Headquarters (HQ),Arizona State University,Non-reimbursable Umbrella Space Act Agreement betweenNASA Ames Research Center and Arizona State University forSpace Exploration Science and Engineering Research andSTEM Initiatives,5/21/2020,5/21/2025,null
NASA Headquarters (HQ),SPACE SYSTEMS LORAL LLC,Annex 1 to Nonreimbursable Umbrella Space Act Agreementbetween NASA ARC and Space Systems Loral for Robotic andSpacecraft Technology Research,4/16/2020,4/16/2023,62229
NASA Headquarters (HQ),SPACE SYSTEMS LORAL LLC,Reimbursable Umbrella Space Act Agreement between NASAARC and Space Systems Loral for Robotic and SpacecraftTechnology Research,4/16/2020,4/16/2025,null
