NASA+Jet+Propulsion+Laboratory,Aspen+Aerogels+Inc,Aerogel Insulation for the Thermal Protection of Venus Spacecraft Phase II,1/1/2005,12/31/2005,599944,Science
NASA+Marshall+Space+Flight+Center,Aspen+Aerogels+Inc,Sprayable Thermal Insulation for Cryogenic Tanks Phase II,1/1/2005,12/31/2005,599971,Exploration Systems
NASA+Johnson+Space+Center,Aspen+Aerogels+Inc,Lightweight Rubbery Aerogel Composites for High Performance Protection Phase I,1/1/2006,12/31/2006,99982,Small Business Technology Transfer
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Aspen+Aerogels+Inc,Multifunctional Aerogel Thermal Protection Systems for Hypersonic Vehicles Phase I,1/1/2007,12/31/2007,99999.3,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Aspen+Aerogels+Inc,Multifunctional Flexible Aerogels for Inflatable Habitats Phase I,1/1/2007,12/31/2007,99999.41,Exploration Systems
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Aspen+Aerogels+Inc,Multifunctional Aerogel Thermal Protection Systems for Hypersonic Vehicles Phase II,1/1/2007,12/31/2007,600000,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Kennedy+Space+Center,Aspen+Aerogels+Inc,Lightweight Non-Compacting Aerogel Insulation for Cryotanks Phase I,1/1/2008,12/31/2008,99997.99,Exploration Systems
NASA+Kennedy+Space+Center,Aspen+Aerogels+Inc,Lightweight Cost Effective LOX Compatible Aerogel Insulation Material for Cryogenic Fluid Transfer Applications Phase I,1/1/2008,12/31/2008,99997.51,Space Operations
NASA+Kennedy+Space+Center,Aspen+Aerogels+Inc,Lightweight Non-Compacting Aerogel Insulation for Cryotanks Phase II,1/1/2008,12/31/2008,599998,Exploration Systems
NASA+Kennedy+Space+Center,Aspen+Aerogels+Inc,Hybrid Aerogel-MLI Insulation System for Cryogenic Storage in Space Applications Phase I,1/1/2009,12/31/2009,99994,Exploration Systems
NASA+Marshall+Space+Flight+Center,Aspen+Aerogels+Inc,Hybrid Aerogel-MLI Insulation System for Cryogenic Storage in Space Applications Phase II,1/1/2009,12/31/2009,599971,Exploration Systems
NASA+Goddard+Space+Flight+Center,Aspen+Aerogels+Inc,Aerogel-Based Multi-Layer Insulation with Micrometeoroid Protection Phase I,1/1/2010,12/31/2010,99994,Science
