Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Vladimir E. Zharov,"['Moscow State University', 'SAI-Sternberg Astronomical Inst', 'Universitetskij pr 13', '119992 Moscow', 'Russian Federation']"
Gordana Apostolovska,"['Faculty of Natural Sciences', 'Inst of Physics', 'Skopje', 'Macedonia, Former Rep of Yugoslavia']"
Elizabeth M. Alvarez del Castillo,"['4830 W Camino de la Amapola', 'Tucson AZ 85745', 'Arizona (AZ)', 'United States']"
Jon E. Bjorkman,"['University of Toledo', 'Physics-Astronomy Dept Ritter Observatory', '2801 W Bancroft St', 'Toledo OH 43606', 'Ohio (OH)', 'United States']"
Markus Rothacher,"['Institute of Geodesy & Photogrammetry', 'Schafmattstr. 34/HPV G52', '8093 Zürich', 'Switzerland']"
Dana A. Kovaleva,"['Inst of Astronomy RAS', 'Center f Astronomy Data', 'Pyatnitskaya ul 48', '119017 Moscow', 'Russian Federation']"
Timothy M.C. Abbott,"['AURA/CTIO/NOAO', 'Casilla 603', 'La Serena', 'Chile']"
Vahagn G. Gurzadyan,"['Alikhanian National Laboratory  (Yerevan Physics Institute)', 'Center for Cosmology and Astrophysics', '375036 Yerevan', 'Armenia']"
Simon P. Ellingsen,"['University of Tasmania', 'School of Natural Sciences', 'Private Bag 37', 'Hobart TAS 7001', 'Tasmania (TAS)', 'Australia']"
Ivan K. Baldry,"['Liverpool John Moores University', 'Astrophysics Research Institute', 'IC2, Liverpool Science Park', '146 Brownlow Hill', 'Liverpool L3 5RF', 'Merseyside', 'United Kingdom']"
Duncan Campbell-Wilson,"['University of Sydney School-Physics', 'Molonglo Observatory (MOST)', 'RMB 107', '1152 Hoskinstown Rd', 'Bungendore NSW 2621', 'New South Wales (NSW)', 'Australia']"
Vikram V. Dwarkadas,"['University of Chicago', 'Astronomy & Astrophysics Center', '5640 S Ellis Ave', 'RI 451', 'Chicago IL 60637', 'Illinois (IL)', 'United States']"
Lilia Ferrario,"['The Australian National University', 'Mathematical Sciences Institute', 'Hanna Neumann Building 145', 'Canberra ACT 2601', 'Australian Capital Territory (ACT)', 'Australia']"
Carole A. Jackson,"['ASTRON', 'Director General', 'PO Box 2', '7990 AA Dwingeloo', 'Netherlands']"
Brian P. Schmidt,"['Research School of Astronomy & Astrophysics', 'ANU RSAA', 'Mount Stromlo Observatory', 'Cotter Rd', 'Weston Creek', 'Canberra ACT 2611', 'Australian Capital Territory (ACT)', 'Australia']"
Peter G. Tuthill,"['University of Sydney', 'School of Physics A28', 'Sydney NSW 2006', 'New South Wales (NSW)', 'Australia']"
Onno R. Pols,"['Radboud University Nijmegen', 'Department of Astrophysics', 'P.O. Box 9010', '6500 GL Nijmegen', 'Netherlands']"
Graham Barnes,"['NorthWest Research Associates', 'Colorado Research Associates Division Inc', '3380 Mitchell Ln', 'Boulder CO 80301', 'Colorado (CO)', 'United States']"
David Berghmans,"['Koninklijke Sterrenwacht van België', 'Av Circulaire 3-Ringlaan 3', '1180 Brussel', 'Belgium']"
Henri M.J. Boffin,"['ESO', 'Karl-Schwarzschild-Str. 2', '85748 Garching bei München', 'Germany']"
Carine Bruyninx,"['Royal Observatory Belgium', 'Av Circulaire 3-Ringlaan 3', '1180 Brussels', 'Belgium']"
Johan De Keyser,"['Belgian Institute for Space Aeronomy', 'BIRA', 'Space Physics', 'Av. Circulaire 3-Ringlaan 3', '1180 Brussels', 'Belgium']"
