Magnitude ID,User ID,Obs Session ID,Shower,Start Date,End Date,Mag N6,Mag N5,Mag N4,Mag N3,Mag N2,Mag N1,Mag 0,Mag 1,Mag 2,Mag 3,Mag 4,Mag 5,Mag 6,Mag 7
83,587,23,PER,1994-08-14 01:25:00,1994-08-14 02:10:00,0,0,2,0,0,1,2,3,0,1,0,0,0,0
84,587,23,KCG,1994-08-14 01:25:00,1994-08-14 02:10:00,0,0,0,0,0,0,0,1,0,1,0,0,0,0
85,587,23,SPO,1994-08-14 01:25:00,1994-08-14 02:10:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119,602,83,QUA,1994-01-03 00:45:00,1994-01-03 02:45:00,0,0,0,0,0,0,0,0,0,3,0,0,0,0
120,602,83,SPO,1994-01-03 00:45:00,1994-01-03 02:45:00,0,0,0,0,0,0,0,0,0,3,0,0,0,0
823,637,324,PER,1994-08-11 00:49:00,1994-08-11 02:28:00,0,0,0,0,6,3,2,9,6,1,0,0,0,0
824,637,324,KCG,1994-08-11 00:49:00,1994-08-11 02:28:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
825,637,324,SPO,1994-08-11 00:49:00,1994-08-11 02:28:00,0,0,0,0,0,0,1,0,1,0,0,0,0,0
826,637,324,PER,1994-08-10 20:45:00,1994-08-10 21:45:00,0,0,0,0,0,0,0,1,3,1,1,0,0,0
827,637,324,KCG,1994-08-10 20:45:00,1994-08-10 21:45:00,0,0,0,0,0,0,0,0,0,2,0,0,0,0
828,637,325,PER,1994-08-14 23:20:00,1994-08-15 00:16:00,0,0,0,0,1,1,3,3,4,2,0,0,0,0
829,637,325,SPO,1994-08-14 23:20:00,1994-08-15 00:16:00,0,0,0,0,0,1,0,1,0,1,1,0,0,0
1094,662,398,PER,1994-08-12 06:45:00,1994-08-12 10:00:00,0,0,0,0,1,7,12,23,24,17,1,0,0,0
1095,662,398,KCG,1994-08-12 06:45:00,1994-08-12 10:00:00,0,0,0,0,0,0,1,1,1,2,0,0,0,0
1096,662,398,SPO,1994-08-12 06:45:00,1994-08-12 10:00:00,0,0,0,0,0,0,1,1,1,1,0,0,0,0
1145,666,410,QUA,1994-01-03 21:30:00,1994-01-04 00:40:00,0,0,0,0,1,2,3,2.5,12,10.5,5.5,0.5,0,0
1147,666,410,SPO,1994-01-03 21:30:00,1994-01-04 00:40:00,0,0,0,0,0,0,0,1.5,2,6,8.5,4,0,0
1150,666,411,PER,1994-08-07 20:00:00,1994-08-07 23:28:00,0,0,0,0,0,0.5,3,0.5,1,3.5,3.5,0,0,0
1153,666,411,SPO,1994-08-07 20:00:00,1994-08-07 23:28:00,0,0,0,0,0,0,0,1.5,2.5,3.5,7,0.5,0,0
1156,666,412,PER,1994-08-09 20:00:00,1994-08-10 00:22:00,0,0,0,0,0,1,0,3.5,9.5,11,4.5,1.5,0,0
1158,666,412,CAP,1994-08-09 20:00:00,1994-08-10 00:22:00,0,0,0,0,0,0,0,0,1,0.5,2.5,0,0,0
1160,666,412,SPO,1994-08-09 20:00:00,1994-08-10 00:22:00,0,0,0,0,0,0,0,1.5,4.5,13,22,14.5,0.5,0
1162,666,413,PER,1994-08-10 20:15:00,1994-08-10 22:37:00,0,0,0,0,0,0,0,1,3.5,11,3.5,0,0,0
1164,666,413,CAP,1994-08-10 20:15:00,1994-08-10 22:37:00,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
1168,666,413,SPO,1994-08-10 20:15:00,1994-08-10 22:37:00,0,0,0,0,0,0,0,0,3,8,10,3,0,0
1171,666,414,PER,1994-08-11 20:00:00,1994-08-11 22:13:00,0,0,0,0,0,0,4,8,17,16.5,13,0.5,0,0
1173,666,414,CAP,1994-08-11 20:00:00,1994-08-11 22:13:00,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
1176,666,414,SPO,1994-08-11 20:00:00,1994-08-11 22:13:00,0,0,0,0,0,0,0,0,3,10,13,3,0,0
1178,666,415,PER,1994-08-13 20:00:00,1994-08-13 21:25:00,0,0,0,0,0,0,1.5,2,5,6.5,15,1,0,0
1180,666,415,SPO,1994-08-13 20:00:00,1994-08-13 21:25:00,0,0,0,0,0,0,1,1.5,3,1,4.5,3,0,0
1182,666,416,NTA,1994-11-03 21:18:00,1994-11-04 01:00:00,0,0,0,0,0,0,0,0.5,2,2.5,2,0,0,0
1185,666,416,STA,1994-11-03 21:18:00,1994-11-04 01:00:00,0,0,0,0,0,0,0,0.5,0.5,2,0,0,0,0
1188,666,416,SPO,1994-11-03 21:18:00,1994-11-04 01:00:00,0,0,0,0,0,0,0.5,3,5.5,9.5,8.5,2,0,0
