Rate ID,User ID,Obs Session ID,Start Date,End Date,Ra,Decl,Teff,F,Lm,Shower,Method,Number
536,593,57,2004-11-19 19:45:00,2004-11-19 20:45:00,114,5,1,1,5.51,LEO,C,3
537,593,57,2004-11-19 19:45:00,2004-11-19 20:45:00,114,5,1,1,5.51,SPO,C,11
538,593,57,2004-11-19 21:00:00,2004-11-19 22:00:00,114,5,1,1,5.54,LEO,C,4
539,593,57,2004-11-19 21:00:00,2004-11-19 22:00:00,114,5,1,1,5.54,SPO,C,9
876,605,94,2004-08-11 19:50:00,2004-08-11 19:55:00,255,30,0.083,1,5.95,PER,C,0
877,605,94,2004-08-11 19:50:00,2004-08-11 19:55:00,255,30,0.083,1,5.95,SPO,C,0
878,605,94,2004-08-11 19:55:00,2004-08-11 20:00:00,255,30,0.083,1,5.95,PER,C,0
879,605,94,2004-08-11 19:55:00,2004-08-11 20:00:00,255,30,0.083,1,5.95,SPO,C,0
880,605,94,2004-08-11 20:00:00,2004-08-11 20:05:00,255,30,0.083,1,5.95,PER,C,2
881,605,94,2004-08-11 20:00:00,2004-08-11 20:05:00,255,30,0.083,1,5.95,SPO,C,0
882,605,94,2004-08-11 20:05:00,2004-08-11 20:10:00,255,30,0.083,1,5.95,PER,C,3
883,605,94,2004-08-11 20:05:00,2004-08-11 20:10:00,255,30,0.083,1,5.95,SPO,C,0
884,605,94,2004-08-11 20:10:00,2004-08-11 20:15:00,255,30,0.083,1,5.95,PER,C,2
885,605,94,2004-08-11 20:10:00,2004-08-11 20:15:00,255,30,0.083,1,5.95,SPO,C,0
886,605,94,2004-08-11 20:15:00,2004-08-11 20:20:00,255,30,0.083,1,5.95,PER,C,1
887,605,94,2004-08-11 20:15:00,2004-08-11 20:20:00,255,30,0.083,1,5.95,SPO,C,0
888,605,94,2004-08-11 20:20:00,2004-08-11 20:25:00,255,30,0.083,1,5.95,PER,C,3
889,605,94,2004-08-11 20:20:00,2004-08-11 20:25:00,255,30,0.083,1,5.95,SPO,C,0
890,605,94,2004-08-11 20:25:00,2004-08-11 20:30:00,255,30,0.083,1,5.95,PER,C,1
891,605,94,2004-08-11 20:25:00,2004-08-11 20:30:00,255,30,0.083,1,5.95,SPO,C,0
892,605,94,2004-08-11 20:30:00,2004-08-11 20:35:00,255,30,0.083,1,5.95,PER,C,3
893,605,94,2004-08-11 20:30:00,2004-08-11 20:35:00,255,30,0.083,1,5.95,SPO,C,0
894,605,94,2004-08-11 20:35:00,2004-08-11 20:40:00,255,30,0.083,1,5.95,PER,C,2
895,605,94,2004-08-11 20:35:00,2004-08-11 20:40:00,255,30,0.083,1,5.95,SPO,C,0
896,605,94,2004-08-11 20:40:00,2004-08-11 20:45:00,255,30,0.083,1,5.95,PER,C,3
897,605,94,2004-08-11 20:40:00,2004-08-11 20:45:00,255,30,0.083,1,5.95,SPO,C,0
898,605,94,2004-08-11 20:45:00,2004-08-11 20:50:00,255,30,0.083,1,5.95,PER,C,1
899,605,94,2004-08-11 20:45:00,2004-08-11 20:50:00,255,30,0.083,1,5.95,SPO,C,0
900,605,94,2004-08-11 20:50:00,2004-08-11 20:55:00,255,30,0.083,1,5.95,PER,C,1
901,605,94,2004-08-11 20:50:00,2004-08-11 20:55:00,255,30,0.083,1,5.95,SPO,C,0
902,605,94,2004-08-11 20:55:00,2004-08-11 21:00:00,255,30,0.083,1,5.95,PER,C,1
903,605,94,2004-08-11 20:55:00,2004-08-11 21:00:00,255,30,0.083,1,5.95,SPO,C,0
904,605,94,2004-08-11 21:00:00,2004-08-11 21:05:00,255,30,0.083,1,5.95,PER,C,2
905,605,94,2004-08-11 21:00:00,2004-08-11 21:05:00,255,30,0.083,1,5.95,SPO,C,0
906,605,94,2004-08-11 21:05:00,2004-08-11 21:10:00,255,30,0.083,1,5.95,PER,C,4
907,605,94,2004-08-11 21:05:00,2004-08-11 21:10:00,255,30,0.083,1,5.95,SPO,C,0
908,605,94,2004-08-11 21:10:00,2004-08-11 21:15:00,225,30,0.083,1,5.95,PER,C,5
909,605,94,2004-08-11 21:10:00,2004-08-11 21:15:00,225,30,0.083,1,5.95,SPO,C,0
910,605,94,2004-08-11 21:15:00,2004-08-11 21:20:00,255,30,0.083,1,5.95,PER,C,1
911,605,94,2004-08-11 21:15:00,2004-08-11 21:20:00,255,30,0.083,1,5.95,SPO,C,0
912,605,94,2004-08-11 21:20:00,2004-08-11 21:25:00,255,30,0.083,1,5.95,PER,C,1
913,605,94,2004-08-11 21:20:00,2004-08-11 21:25:00,255,30,0.083,1,5.95,SPO,C,0
914,605,94,2004-08-11 21:25:00,2004-08-11 21:30:00,255,30,0.083,1,5.95,PER,C,0
915,605,94,2004-08-11 21:25:00,2004-08-11 21:30:00,255,30,0.083,1,5.95,SPO,C,0
916,605,94,2004-08-11 21:30:00,2004-08-11 21:35:00,255,30,0.083,1,5.95,PER,C,3
917,605,94,2004-08-11 21:30:00,2004-08-11 21:35:00,255,30,0.083,1,5.95,SPO,C,0
918,605,94,2004-08-11 21:35:00,2004-08-11 21:40:00,255,30,0.083,1,5.95,PER,C,3
919,605,94,2004-08-11 21:35:00,2004-08-11 21:40:00,255,30,0.083,1,5.95,SPO,C,0
920,605,94,2004-08-11 21:40:00,2004-08-11 21:45:00,255,30,0.083,1,5.95,PER,C,2
921,605,94,2004-08-11 21:40:00,2004-08-11 21:45:00,255,30,0.083,1,5.95,SPO,C,0
922,605,94,2004-08-11 21:45:00,2004-08-11 21:50:00,255,30,0.083,1,5.95,PER,C,1
923,605,94,2004-08-11 21:45:00,2004-08-11 21:50:00,255,30,0.083,1,5.95,SPO,C,0
924,605,94,2004-08-11 22:40:00,2004-08-11 22:45:00,255,30,0.083,1,5.71,PER,C,0
925,605,94,2004-08-11 22:40:00,2004-08-11 22:45:00,255,30,0.083,1,5.71,SPO,C,0
926,605,94,2004-08-11 22:45:00,2004-08-11 22:50:00,255,30,0.083,1,5.71,PER,C,0
927,605,94,2004-08-11 22:45:00,2004-08-11 22:50:00,255,30,0.083,1,5.71,SPO,C,0
928,605,94,2004-08-11 22:50:00,2004-08-11 22:55:00,255,30,0.083,1,5.71,PER,C,0
929,605,94,2004-08-11 22:50:00,2004-08-11 22:55:00,255,30,0.083,1,5.71,SPO,C,0
930,605,94,2004-08-11 22:55:00,2004-08-11 23:00:00,255,30,0.083,1,5.71,PER,C,1
931,605,94,2004-08-11 22:55:00,2004-08-11 23:00:00,255,30,0.083,1,5.71,SPO,C,0
932,605,94,2004-08-11 23:00:00,2004-08-11 23:05:00,255,30,0.083,1,5.71,PER,C,0
933,605,94,2004-08-11 23:00:00,2004-08-11 23:05:00,255,30,0.083,1,5.71,SPO,C,0
934,605,94,2004-08-11 23:05:00,2004-08-11 23:20:00,255,30,0.25,1,5.71,PER,C,1
935,605,94,2004-08-11 23:05:00,2004-08-11 23:20:00,255,30,0.25,1,5.71,SPO,C,0
936,605,94,2004-08-11 23:20:00,2004-08-11 23:35:00,255,30,0.25,1,5.71,PER,C,5
