name,address,note,lat,long,,
Abilene Astronomical Society,Abilene 1817 Jackson St.,15 members,,,,
Alachua Astronomy Club inc.,"Gainesville 2603 NW 13th St, #161",110 members,,,,
Alamogordo Astronomy Club,Alamogordo International Space Hall of Fame - Hwy 2001,505-437-5857,,,,
Albany Area Amateur Astronomers Inc.,Ballston Lake 3 Hawley Drive,140 members,,,,
Aldrich Astronomical Society,"Paxton 50 Sunset Lane, Box S",Founded in 1932,,,,
Allegheny Highland Astronomical Society,Ridgeway P.O. Box 277,(814) 772-0472,,,,
Amarillo Astronomy Club,Amarillo 7813 Simpson Dr.,45 members,,,,
Amateur Astronomers Association of NY,Brooklyn PO Box 150253,650 members,,,,
Amateur Astronomers Assn. of Pittsburgh,Glenshaw P.O. Box 314,550 members,,,,
Amateur Astronomers Assn. of Princeton Inc.,Princeton P.O. Box 2017,155 members,,,,
Amateur Astronomers Inc.,Cranford Union County College - 1033 Springfield Ave.,248 members,,,,
Amateur Astronomers Of Beaver County,PA Beaver County,http://aaobc.com,,,,
Amateur Astronomers of Central Iowa,Tama 1009 Harding St.,50173,,,,
Amateur Astronomers of Jackson,Jackson 910 Edgewood Street,30 members,,,,
Amateur Observers Society of New York,Hempstead Hofstra University,150 members. Meets at Hofstra University,,,,
Amateur Telescope Makers of Boston Inc.,Westford 20 Millstone Hill Rd,350 members,,,,
American Association of Amateur Astronomers,Plano 3131 Custer Road Ste 175,75075,,,,
Ames Area Amateur Astronomers,Ames 3912 Brookdale Cir.,77 members,,,,
Amherst Astronomy Association,Amherst 1403 South East St.,70 members,,,,
Ancient City Astronomy Club,St. Augustine 3609 Crazy Horse Trail,40 members,,,,
Andromeda Astronomical Society,Yucca Valley P.O. Box 8,70 members,,,,
Anne Arundel Assn. of Amateur Astronomers,Arnold 101 College Pkwy.,410-541-2271,,,,
Antelope Valley Astronomy Club,Lancaster P.O. Box 4595,100 members,,,,
Arkansas Valley Astronomical Society,Buena Vista P.O. Box 4559,http://www.fourteenernet.com/avas,,,,
Arrowhead Astronomical Society,Duluth Alworth Planetarium - Univ. of Minnesota-Duluth,30 members,,,,
ASH Edward L. Naylor Astronomical Center,Lewisberry 670 Observatory Dr,http://www.astrohbg.org,,,,
Assn. of Amateur Astronomers,College Station Physics Dept. at Texas A&M Univ.,http://www.isc.tamu.edu/~astro/aaa.,,,,
Astro Scopers,Seminole 8350 81st St. N.,22 members,,,,
AstroCruisers,West Trenton POB 7822,http://www.eyeonthesky.com/astrocru,,,,
Astronomers of Humboldt,Eureka P.O. Box 351,http://www.astrohum.org,,,,
Astronomers of Verde Valley,Cottonwood PO Box 714,70 members,,,,
Astronomical Association of Southern Illinoi,Carbondale 205 S. Canterbury Drive,53 members,,,,
Astronomical Club of Southern West Virginia,Athens Box 28 Concord College,http://www.acswv.org,,,,
Astronomical Institute of the Rockies,Helena 451 Washington St.,20 members,,,,
Astronomical Society,Melbourne Florida Institute of Technology,30 members,,,,
Astronomical Society at Univ. of Illinois,Urbana Astronomy Bldg. - 1002 W. Green St.,100 members,,,,
Astronomical Society of Bay County,Panama City 308 Airport Road,26 members,,,,
Astronomical Society of Greater Hartford,Conventry PO Box 717,105 members,,,,
Astronomical Society of Harrisburg Inc.,Lewisberry PO Box 160,150 members,,,,
Astronomical Society of Hillsdale County,Fremont P.O. Box 39,20 members,,,,
Astronomical Society of Kansas City,Kansas City 7241 Jarboe,300+ members,,,,
Astronomical Society of Las Cruces,Las Cruces P.O. Box 921,80 members,,,,
Astronomical Society of Lenawee & Hillsdale,Manitou Beach 14815 Rome Rd.,25 members,,,,
Astronomical Society of Long Island,NY Vanderbilt Planetarium,100 members. Every Wed except for holidays.,,,,
Northern Colorado Astronomical Society,Fort Collins 408 Mason Ct,60 members,,,,
Astronomical Society of Nevada,Sparks 3300 Sansol Ct.,http://www.astronomynv.org,,,,
Astronomical Society of Nevada,Reno 4275 Settler Drive,70 members,,,,
Astronomical Society of Nevada,NV Las Vegas,http://www.astronomynv.org/vegas/,,,,
Astronomical Society of New Haven Inc.,New Haven P.O. Box 16234,203-874-4816,,,,
Astronomical Society of New York City,Staten Island 153 Arlo Rd.,20 members,,,,
Astronomical Society of Northern New England,Kennebunk P.O. Box 1338,135 members,,,,
Astronomical Society of Northwest Arkansas,Fayetteville 2300 Old Wire Rd.,27 members,,,,
Astronomical Society of Rowan County,Salisbury 3021 Old Mocksville Rd.,15 members,,,,
Astronomical Society of Southern New England,"Rehoboth 4 Locust Ave, Carpenter Museum",100 members,,,,
Astronomical Society of the Central Coast,Marina 200 8th St.,32 members,,,,
Astronomical Society of the Desert,Rancho Mirage P.O. Box 71,http://www.astrorx.org,,,,
Astronomical Society of the Grand Canyon,Grand Canyon P.O. Box 1515,7 members,,,,
Astronomical Society of the Palm Beaches,West Palm Beach P.O. Box 19652,100 members,,,,
Astronomical Society of the Toms River Area,Toms River Novins Planetarium at Ocean County College,96 members,,,,
Astronomical Units,Fairbanks Box 82210,15 members,,,,
Astronomy Associates of Lawrence,Lawrence Dept. of Physics at 1251 Wescoe Hall Dr.,20 members,,,,
Astronomy Club of Akron Inc.,Akron 586 Fairwood Rd,fourth Fri of month at Kiwanis Club of Portage Lakes Civic Center,,,,
Astronomy Club of Asheville,Asheville 853 New Haw Creek Road,115 members,,,,
Astronomy Club of Augusta,Augusta P.O. Box 15712,60 members,,,,
Litchfield Hills Amateur Astronomy Club,CT Litchfield,http://lhastro.org/,,,,
Astronomy Club of Sun City West,Sun City West 17802 N. 131st Ave.,167 members,,,,
Astronomy Club of the Univ. of California at,Davis Physics Dept. at Univ. of California,20 members,,,,
Astronomy Club of Tulsa,Tulsa P.O. Box 470611,150 members,,,,
Astronomy Club of Virginia Tech,Blacksburg Physics Dept.,70 members,,,,
Astronomy Enthusiasts of Lancaster County,Lancaster Museum Planetarium at 400 College Ave,40 members,,,,
Astronomy For Youth Inc,Lucas Horsemans Area at Malabar Farm State Park,Public night is 3rd Sat each month,,,,
Astronomy to Go,Melrose Park 1115 Melrose Ave.,215-831-0485,,,,
Athens Astronomical Assn.,Athens 160 Plantation Dr.,5 members,,,,
Atlanta Astronomy Club Inc.,Marietta 3595 Canton Rd. - Suite A9-305,270 members,,,,
Auburn Astronomical Society,Auburn 254 Lee Rd. 433,20 members,,,,
Austin Astronomical Society,Austin P.O. Box 12831,http://www.austinastro.org,,,,
Back Bay Amateur Astronomers,Virginia Beach P.O. Box 9877,87 members,,,,
Baltimore Astronomical Society,Baltimore Maryland Academy of Science at 601 Light St.,140 members,,,,
Barnard Astronomical Society,Chattanooga 838 Belvoir Hills Dr.,51 members,,,,
Barnard-Seyfert Astronomical Society,Brentwood 1000 Oman Dr.,102 members,,,,
Bartlesville Astronomical Society,Bartlesville Rt. 2 - Box 940,918-333-1966,,,,
Baton Rouge Astronomical Society,Baton Rouge 6348 Double Tree Ct.,http://www.brastro.org,,,,
Battle Point Astronomical Assn.,Bainbridge Island P.O. Box 10914,200 members,,,,
Bay Colony Astronomical Society,Plymouth P.O. Box 1418,23 members,,,,
Bays Mountain Astronomy Club,Kingsport 853 Bays Mountain Park Rd.,50 members,,,,
Beaufort South Carolina Amateur Astronomer,SC Beaufort,http://www.islc.net/~mwlesso/astrono.htm,,,,
Belen Jesuit Prep School Astronomy Club,Miami 500 SW 127th Ave.,305-223-8600,,,,
Berks County Amateur Astronomical Society In,Wyomissing P.O. Box 6150,100 members,,,,
Big Bend Astronomical Society,Alpine HC 65 Box 14,56 members,,,,
Big Sky Astronomy Club,Kalispell P.O. Box 631,25 Members,,,,
Birmingham Astronomical Society,Birmingham 5032 Wendover Dr.,70 members,,,,
Black Canyon Astronomy Club,Montrose P. O. Box 1809,81402-1809,,,,
Black Hills Astronomical Society,Rapid City 4715 Hidden Valley Rd,https://sdbhas.org/,,,,
Black River Astronomical Society,Lorain 1631 Maple Dr.,50 members,,,,
Blue Ridge Astronomy Club,VA Lynchburg,http://www.blueridgeastronomy.org,,,,
Blue Ridge Skywatch Astrophotography Society,Salem 3356 Absalom Smith Road,4 members,,,,
Bluegrass Amateur Astronomy Club,Lexington 1016 Della Dr.,http://www.ms.uky.edu/~bgaac/index.,,,,
Boeing Employees Amateur Astronomers Club -,St. Louis 7320 Chamberlain Ave.,60 members,,,,
Boeing Employees Astronomical Society,Seattle PO Box 3703,120 members,,,,
Boise Astronomical Society,Boise P.O. Box 7002,75 members,,,,
Boothe Astronomical Society,Stratford Boothe Memorial Park at Main St.,20 members,,,,
